# Player-facing strings (Loc.cs): key<TAB>english<TAB>italian. \n = new line, {0} = argument.
# ASCII/Latin-1 only (the font atlases hold nothing else). Keep button labels <= 12 characters (docs/09 section 6).

# Top bar and wave
hud.wave	Wave {0}/{1}	Ondata {0}/{1}
options.core	Core	Nucleo
options.grade	Grade	Grado
options.grade_value	Grade {0}	Grado {0}
options.endless	Endless after victory	Infinita dopo la vittoria
options.close	Close	Chiudi
options.auto	Auto: {0}	Auto: {0}
numbers.all	All	Tutti
numbers.big	Big only	Solo grandi
numbers.none	None	Nessuno
quality.low	Low	Bassa
quality.medium	Medium	Media
quality.high	High	Alta
language.English	English	English
language.Italian	Italiano	Italiano

# Inspector bubbles and sheets
inspect.title_level	{0} L{1}	{0} L{1}
inspect.weapon	{0} every {1} s\nthis wave: {2}	{0} ogni {1} s\nquesta ondata: {2}
inspect.weapon_head	{0} every {1} s	{0} ogni {1} s
inspect.lifting	\nlifting {0}	\npotenzia {0}
inspect.no_neighbours	\nno neighbours to lift	\nnessun vicino da potenziare
inspect.and	{0} and {1}	{0} e {1}
inspect.sheet	{0}\nsells back for {1}{2}	{0}\nsi rivende per {1}{2}
inspect.offer	{0}\ncosts {1}	{0}\ncosta {1}
inspect.elite	{0} (elite)	{0} (élite)
inspect.enemy	{0} / {1}\n{2} units per second{3}	{0} / {1}\n{2} unità al secondo{3}
inspect.armour	\narmour {0}	\narmatura {0}

# Names (proper names: kept in English for now; docs/11 §1 proposes renames)
module.Emitter	Emitter	Emitter
module.Scatter	Scatter	Scatter
module.Arc	Arc	Arc
module.Lance	Lance	Lance
module.Mortar	Mortar	Mortar
module.Amplifier	Amplifier	Amplifier
module.Lens	Lens	Lens
module.Overclock	Overclock	Overclock
module.Echo	Echo	Echo
module.Bank	Bank	Bank
module.Salvage	Salvage	Salvage
module.Bulwark	Bulwark	Bulwark
module.Frost	Frost	Frost
module.Capacitor	Capacitor	Capacitor
enemy.Drifter	Drifter	Drifter
enemy.Swarmlet	Swarmlet	Swarmlet
enemy.Brute	Brute	Brute
enemy.Dasher	Dasher	Dasher
enemy.Splitter	Splitter	Splitter
enemy.Warden	Warden	Warden
enemy.Guardian	Guardian	Guardiano
core.Standard	Standard	Standard
core.Merchant	Merchant	Merchant
core.Bastion	Bastion	Bastion
core.Glass	Glass	Glass

# What a module does (card sheet, module panel)
module.Emitter.desc	Shoots the enemy closest to the core	Colpisce il nemico più vicino al nucleo
module.Scatter.desc	Hits 3 enemies at once	Colpisce 3 nemici alla volta
module.Arc.desc	Chains over 4 enemies, -10% per jump	Rimbalza su 4 nemici, -10% a salto
module.Lance.desc	Pierces every enemy on a line	Trafigge tutti i nemici in linea
module.Mortar.desc	Explodes on the farthest enemy	Esplode sul nemico più lontano
module.Amplifier.desc	Neighbours deal x1.5 damage	I vicini fanno danni x1.5
module.Lens.desc	Neighbours: +1.5 range, +2 damage	Vicini: +1.5 gittata, +2 danni
module.Overclock.desc	Neighbours fire 25% faster	I vicini sparano il 25% più veloce
module.Echo.desc	Neighbour hits echo at 50%	I colpi dei vicini si ripetono al 50%
module.Bank.desc	+1 interest cap, +1 credit per wave	+1 tetto interessi, +1 credito a ondata
module.Salvage.desc	+1 credit per 10 kills	+1 credito ogni 10 eliminazioni
module.Bulwark.desc	+25 integrity, repairs 5 per wave	+25 integrità, ripara 5 a ondata
module.Frost.desc	Enemies near the core move 25% slower	I nemici vicini al nucleo rallentano del 25%
module.Capacitor.desc	Pulse: -20% cooldown, +50% damage	Impulso: -20% ricarica, +50% danni
